,Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
250,Latino,Lethal Injection,Texas,Male,1994,09,16,1
251,White,Lethal Injection,Texas,Male,1994,09,20,1
252,Black,Lethal Injection,Texas,Male,1994,10,05,1
253,White,Lethal Injection,Texas,Male,1994,11,22,1
254,Black,Lethal Injection,Texas,Male,1994,12,06,1
255,Black,Electrocution,Indiana,Male,1994,12,08,1
256,White,Lethal Injection,Texas,Male,1994,12,11,1
257,White,Lethal Injection,Texas,Male,1995,01,04,1
258,Latino,Lethal Injection,Texas,Male,1995,01,17,1
259,White,Lethal Injection,North Carolina,Male,1995,01,24,1
260,Black,Lethal Injection,Virginia,Male,1995,01,24,1
261,White,Lethal Injection,Texas,Male,1995,01,31,1
262,Black,Lethal Injection,Texas,Male,1995,01,31,1
263,White,Lethal Injection,Texas,Male,1995,02,07,1
264,White,Lethal Injection,Texas,Male,1995,02,16,1
265,Black,Lethal Injection,Texas,Male,1995,02,21,1
266,White,Lethal Injection,Delaware,Male,1995,03,17,1
267,White,Lethal Injection,Oklahoma,Male,1995,03,20,1
268,Black,Lethal Injection,Illinois,Male,1995,03,22,1
269,White,Lethal Injection,Illinois,Male,1995,03,22,1
270,White,Lethal Injection,Texas,Male,1995,04,06,1
271,White,Electrocution,Georgia,Male,1995,04,07,1
272,White,Lethal Injection,Arkansas,Male,1995,04,19,1
273,Black,Electrocution,Alabama,Male,1995,04,28,1
274,White,Lethal Injection,Pennsylvania,Male,1995,05,02,1
275,Black,Lethal Injection,Missouri,Male,1995,05,03,1
276,White,Lethal Injection,Montana,Male,1995,05,10,1
277,Black,Electrocution,Alabama,Male,1995,05,12,1
278,Black,Lethal Injection,Louisiana,Male,1995,05,16,1
279,Black,Lethal Injection,Illinois,Male,1995,05,17,1
280,White,Electrocution,Georgia,Male,1995,05,17,1
281,Black,Lethal Injection,Virginia,Male,1995,05,25,1
282,White,Lethal Injection,Texas,Male,1995,06,01,1
283,Black,Lethal Injection,Texas,Male,1995,06,08,1
284,Black,Lethal Injection,Texas,Male,1995,06,20,1
285,Black,Lethal Injection,Texas,Male,1995,06,21,1
286,Black,Lethal Injection,Missouri,Male,1995,06,21,1
287,White,Lethal Injection,Oklahoma,Male,1995,07,01,1
288,White,Electrocution,Florida,Male,1995,07,18,1
289,Black,Lethal Injection,Missouri,Male,1995,07,26,1
290,White,Lethal Injection,Oklahoma,Male,1995,08,11,1
291,Black,Lethal Injection,Texas,Male,1995,08,15,1
292,White,Lethal Injection,Pennsylvania,Male,1995,08,16,1
293,Black,Lethal Injection,South Carolina,Male,1995,08,18,1
294,Black,Lethal Injection,Arkansas,Male,1995,08,31,1
295,White,Lethal Injection,Arizona,Male,1995,09,13,1
296,Black,Lethal Injection,Texas,Male,1995,09,19,1
297,White,Lethal Injection,Illinois,Male,1995,09,20,1
298,White,Lethal Injection,North Carolina,Male,1995,09,22,1
299,White,Lethal Injection,Virginia,Male,1995,09,27,1
300,White,Lethal Injection,Texas,Male,1995,10,04,1
301,White,Lethal Injection,Virginia,Male,1995,10,19,1
302,Black,Lethal Injection,Virginia,Male,1995,11,13,1
303,White,Lethal Injection,Missouri,Male,1995,11,15,1
304,White,Lethal Injection,Illinois,Male,1995,11,22,1
305,White,Lethal Injection,Missouri,Male,1995,11,29,1
306,Black,Electrocution,Florida,Male,1995,12,04,1
307,White,Electrocution,Florida,Male,1995,12,05,1
308,White,Lethal Injection,Missouri,Male,1995,12,06,1
309,Black,Lethal Injection,Texas,Male,1995,12,06,1
310,Asian,Lethal Injection,Texas,Male,1995,12,07,1
311,Latino,Lethal Injection,Texas,Male,1995,12,11,1
312,White,Lethal Injection,Texas,Male,1995,12,12,1
313,White,Lethal Injection,Virginia,Male,1996,01,04,1
314,Black,Lethal Injection,Virginia,Male,1996,01,23,1
315,White,Hanging,Delaware,Male,1996,01,25,1
317,Black,Lethal Injection,Delaware,Male,1996,01,30,1
318,White,Lethal Injection,Texas,Male,1996,02,09,1
319,Black,Electrocution,Alabama,Male,1996,02,16,1
320,White,Lethal Injection,Missouri,Male,1996,02,21,1
321,White,Lethal Injection,California,Male,1996,02,23,1
322,Black,Lethal Injection,Texas,Male,1996,02,27,1
323,Black,Lethal Injection,Louisiana,Male,1996,03,01,1
324,White,Lethal Injection,Nevada,Male,1996,03,30,1
325,White,Lethal Injection,Missouri,Male,1996,04,10,1
327,White,Lethal Injection,Oklahoma,Male,1996,04,26,1
328,White,Lethal Injection,California,Male,1996,05,03,1
329,White,Lethal Injection,South Carolina,Male,1996,05,31,1
330,White,Lethal Injection,Arizona,Male,1996,06,19,1
331,White,Electrocution,Nebraska,Male,1996,07,17,1
332,White,Lethal Injection,Virginia,Male,1996,07,17,1
333,Black,Lethal Injection,Indiana,Male,1996,07,18,1
334,White,Lethal Injection,South Carolina,Male,1996,07,19,1
335,Native American,Lethal Injection,Missouri,Male,1996,07,31,1
336,Black,Lethal Injection,Missouri,Male,1996,08,07,1
337,White,Lethal Injection,Arkansas,Male,1996,08,08,1
338,White,Lethal Injection,Oklahoma,Male,1996,08,09,1
339,White,Lethal Injection,Missouri,Male,1996,08,21,1
340,Latino,Lethal Injection,Arizona,Male,1996,08,22,1
341,White,Lethal Injection,South Carolina,Male,1996,09,06,1
342,White,Lethal Injection,Oregon,Male,1996,09,06,1
343,Black,Lethal Injection,Illinois,Male,1996,09,18,1
344,Latino,Lethal Injection,Texas,Male,1996,09,18,1
345,White,Electrocution,South Carolina,Male,1996,10,04,1
346,Black,Electrocution,Florida,Male,1996,10,21,1
347,White,Electrocution,Georgia,Male,1996,11,14,1
348,White,Lethal Injection,South Carolina,Male,1996,11,15,1
349,White,Electrocution,Georgia,Male,1996,11,15,1
350,Black,Lethal Injection,Virginia,Male,1996,11,21,1
351,Black,Lethal Injection,South Carolina,Male,1996,11,22,1
352,White,Lethal Injection,Virginia,Male,1996,12,03,1
353,Black,Electrocution,Florida,Male,1996,12,06,1
354,Black,Lethal Injection,Virginia,Male,1996,12,10,1
355,White,Lethal Injection,Missouri,Male,1996,12,11,1
356,White,Lethal Injection,Virginia,Male,1996,12,12,1
357,White,Lethal Injection,Virginia,Male,1996,12,16,1
358,White,Lethal Injection,Arkansas,Male,1997,01,08,1
359,Latino,Lethal Injection,Arkansas,Male,1997,01,08,1
360,Black,Lethal Injection,Arkansas,Male,1997,01,08,1
361,White,Electrocution,Alabama,Male,1997,01,10,1
362,White,Lethal Injection,Arizona,Male,1997,01,23,1
363,White,Lethal Injection,Missouri,Male,1997,01,29,1
364,White,Lethal Injection,Virginia,Male,1997,02,06,1
365,White,Lethal Injection,Texas,Male,1997,02,10,1
366,Black,Lethal Injection,Virginia,Male,1997,02,26,1
367,Black,Lethal Injection,Texas,Male,1997,03,12,1
368,Latino,Electrocution,Florida,Male,1997,03,25,1
369,White,Lethal Injection,Texas,Male,1997,04,02,1
370,White,Lethal Injection,Texas,Male,1997,04,03,1
371,White,Lethal Injection,Texas,Male,1997,04,14,1
372,White,Lethal Injection,Texas,Male,1997,04,16,1
373,White,Lethal Injection,Texas,Male,1997,04,21,1
374,White,Lethal Injection,Louisiana,Male,1997,04,24,1
375,White,Lethal Injection,Texas,Male,1997,04,29,1
376,Black,Electrocution,Alabama,Male,1997,05,02,1
377,Black,Lethal Injection,Texas,Male,1997,05,06,1
378,Native American,Lethal Injection,Oklahoma,Male,1997,05,08,1
379,Black,Lethal Injection,Texas,Male,1997,05,13,1
380,White,Lethal Injection,Oregon,Male,1997,05,16,1
381,White,Lethal Injection,Texas,Male,1997,05,16,1
382,White,Lethal Injection,Texas,Male,1997,05,19,1
383,White,Lethal Injection,Texas,Male,1997,05,20,1
384,Black,Lethal Injection,Texas,Male,1997,05,21,1
385,White,Lethal Injection,Texas,Male,1997,05,22,1
386,White,Lethal Injection,Texas,Male,1997,05,28,1
387,Black,Lethal Injection,Texas,Male,1997,06,02,1
388,Black,Lethal Injection,Texas,Male,1997,06,03,1
389,Black,Lethal Injection,Texas,Male,1997,06,04,1
390,Latino,Lethal Injection,Texas,Male,1997,06,04,1
391,White,Electrocution,Alabama,Male,1997,06,06,1
392,White,Lethal Injection,Texas,Male,1997,06,11,1
393,White,Lethal Injection,South Carolina,Male,1997,06,13,1
394,White,Lethal Injection,Texas,Male,1997,06,16,1
395,Black,Lethal Injection,Texas,Male,1997,06,17,1
396,Latino,Lethal Injection,Texas,Male,1997,06,18,1
397,White,Lethal Injection,Arizona,Male,1997,06,25,1
398,White,Electrocution,Kentucky,Male,1997,07,01,1
399,Black,Lethal Injection,Maryland,Male,1997,07,02,1
400,White,Lethal Injection,Virginia,Male,1997,07,17,1
401,White,Lethal Injection,Virginia,Male,1997,07,23,1
402,Native American,Lethal Injection,Texas,Male,1997,07,29,1
403,White,Lethal Injection,Missouri,Male,1997,08,06,1
404,White,Lethal Injection,Arkansas,Male,1997,08,06,1
405,White,Lethal Injection,Missouri,Male,1997,08,13,1
406,Black,Lethal Injection,Virginia,Male,1997,08,19,1
407,White,Lethal Injection,Missouri,Male,1997,08,20,1
408,Black,Lethal Injection,Texas,Male,1997,09,09,1
409,Latino,Lethal Injection,Virginia,Male,1997,09,17,1
410,Black,Lethal Injection,Texas,Male,1997,09,22,1
411,Black,Lethal Injection,Missouri,Male,1997,09,24,1
412,White,Lethal Injection,Texas,Male,1997,09,25,1
413,White,Lethal Injection,Texas,Male,1997,09,30,1
414,Black,Lethal Injection,Texas,Male,1997,10,01,1
415,White,Lethal Injection,Texas,Male,1997,10,08,1
416,White,Lethal Injection,Colorado,Male,1997,10,13,1
417,White,Lethal Injection,Missouri,Male,1997,10,22,1
418,Black,Lethal Injection,Texas,Male,1997,10,28,1
419,Asian,Lethal Injection,Texas,Male,1997,11,04,1
420,White,Lethal Injection,Texas,Male,1997,11,06,1
421,Black,Lethal Injection,South Carolina,Male,1997,11,07,1
422,Black,Lethal Injection,Virginia,Male,1997,11,13,1
423,Black,Lethal Injection,Illinois,Male,1997,11,19,1
424,Black,Lethal Injection,Illinois,Male,1997,11,19,1
425,White,Lethal Injection,Texas,Male,1997,11,19,1
426,Black,Lethal Injection,Indiana,Male,1997,11,20,1
427,Black,Lethal Injection,Texas,Male,1997,11,21,1
429,White,Lethal Injection,Texas,Male,1997,12,09,1
430,Black,Lethal Injection,Virginia,Male,1997,12,09,1
431,White,Lethal Injection,Virginia,Male,1997,12,11,1
432,White,Lethal Injection,Illinois,Male,1998,01,21,1
433,Latino,Lethal Injection,Arizona,Male,1998,01,21,1
434,White,Lethal Injection,Indiana,Male,1998,01,29,1
435,White,Gas,North Carolina,Male,1998,01,30,1
436,White,Lethal Injection,Texas,Female,1998,02,03,1
437,White,Lethal Injection,Texas,Male,1998,02,09,1
438,Black,Lethal Injection,Virginia,Male,1998,02,10,1
439,White,Lethal Injection,Oklahoma,Male,1998,02,20,1
440,White,Lethal Injection,Montana,Male,1998,02,24,1
441,Black,Lethal Injection,Missouri,Male,1998,02,25,1
442,White,Lethal Injection,South Carolina,Male,1998,03,06,1
443,White,Lethal Injection,Texas,Male,1998,03,11,1
444,White,Lethal Injection,Virginia,Male,1998,03,18,1
445,White,Electrocution,Florida,Male,1998,03,23,1
446,Black,Electrocution,Florida,Male,1998,03,24,1
447,Black,Lethal Injection,Missouri,Male,1998,03,25,1
448,Black,Lethal Injection,Virginia,Male,1998,03,25,1
449,White,Electrocution,Florida,Female,1998,03,30,1
450,Native American,Electrocution,Florida,Male,1998,03,31,1
451,Latino,Lethal Injection,Virginia,Male,1998,04,14,1
452,White,Lethal Injection,Missouri,Male,1998,04,22,1
453,Latino,Lethal Injection,Arizona,Male,1998,04,22,1
454,White,Lethal Injection,Texas,Male,1998,04,22,1
455,White,Lethal Injection,Texas,Male,1998,04,24,1
456,White,Lethal Injection,Arizona,Male,1998,04,29,1
457,White,Lethal Injection,Texas,Male,1998,04,29,1
458,White,Electrocution,Alabama,Male,1998,05,08,1
459,Black,Lethal Injection,Texas,Male,1998,05,18,1
460,Latino,Lethal Injection,Texas,Male,1998,05,19,1
461,White,Lethal Injection,Arizona,Male,1998,06,03,1
462,White,Electrocution,Georgia,Male,1998,06,09,1
463,White,Lethal Injection,Texas,Male,1998,06,11,1
464,White,Lethal Injection,Texas,Male,1998,06,15,1
465,White,Lethal Injection,Virginia,Male,1998,06,18,1
466,Latino,Lethal Injection,Texas,Male,1998,06,26,1
467,White,Lethal Injection,Arkansas,Male,1998,07,08,1
468,White,Lethal Injection,South Carolina,Male,1998,07,10,1
469,White,Lethal Injection,California,Male,1998,07,14,1
470,White,Lethal Injection,Virginia,Male,1998,07,23,1
471,White,Lethal Injection,Oklahoma,Male,1998,08,05,1
472,White,Lethal Injection,North Carolina,Male,1998,08,14,1
473,Black,Lethal Injection,Virginia,Male,1998,08,20,1
474,Latino,Lethal Injection,Texas,Male,1998,08,26,1
475,Black,Lethal Injection,Virginia,Male,1998,08,31,1
476,White,Lethal Injection,Texas,Male,1998,09,09,1
477,Latino,Lethal Injection,Texas,Male,1998,09,23,1
478,White,Electrocution,Virginia,Male,1998,09,23,1
479,White,Lethal Injection,South Carolina,Male,1998,09,25,1
480,Latino,Lethal Injection,Texas,Male,1998,10,01,1
481,Latino,Lethal Injection,Nevada,Male,1998,10,05,1
482,White,Lethal Injection,Texas,Male,1998,10,07,1
483,White,Lethal Injection,Washington,Male,1998,10,13,1
484,Black,Lethal Injection,Virginia,Male,1998,10,14,1
485,Black,Lethal Injection,Virginia,Male,1998,10,21,1
486,Black,Lethal Injection,Maryland,Male,1998,11,16,1
487,White,Lethal Injection,Texas,Male,1998,11,17,1
488,Black,Lethal Injection,Virginia,Male,1998,11,17,1
489,White,Lethal Injection,North Carolina,Male,1998,11,20,1
